Index,Hogwarts House
0,Hufflepuff
1,Ravenclaw
2,Gryffindor
3,Hufflepuff
4,Hufflepuff
5,Slytherin
6,Ravenclaw
7,Hufflepuff
8,Ravenclaw
9,Hufflepuff
10,Hufflepuff
11,Slytherin
12,Ravenclaw
13,Slytherin
14,Hufflepuff
15,Hufflepuff
16,Ravenclaw
17,Hufflepuff
18,Ravenclaw
19,Hufflepuff
20,Hufflepuff
21,Slytherin
22,Ravenclaw
23,Ravenclaw
24,Hufflepuff
25,Hufflepuff
26,Ravenclaw
27,Slytherin
28,Gryffindor
29,Ravenclaw
30,Hufflepuff
31,Hufflepuff
32,Gryffindor
33,Hufflepuff
34,Hufflepuff
35,Ravenclaw
36,Gryffindor
37,Ravenclaw
38,Slytherin
39,Ravenclaw
40,Ravenclaw
41,Slytherin
42,Hufflepuff
43,Ravenclaw
44,Hufflepuff
45,Ravenclaw
46,Slytherin
47,Gryffindor
48,Ravenclaw
49,Ravenclaw
50,Ravenclaw
51,Hufflepuff
52,Ravenclaw
53,Ravenclaw
54,Hufflepuff
55,Ravenclaw
56,Slytherin
57,Ravenclaw
58,Hufflepuff
59,Hufflepuff
60,Gryffindor
61,Gryffindor
62,Hufflepuff
63,Hufflepuff
64,Ravenclaw
65,Hufflepuff
66,Hufflepuff
67,Ravenclaw
68,Hufflepuff
69,Ravenclaw
70,Ravenclaw
71,Slytherin
72,Hufflepuff
73,Ravenclaw
74,Ravenclaw
75,Hufflepuff
76,Hufflepuff
77,Gryffindor
78,Ravenclaw
79,Gryffindor
80,Ravenclaw
81,Hufflepuff
82,Hufflepuff
83,Gryffindor
84,Gryffindor
85,Hufflepuff
86,Hufflepuff
87,Hufflepuff
88,Ravenclaw
89,Ravenclaw
90,Hufflepuff
91,Slytherin
92,Gryffindor
93,Hufflepuff
94,Ravenclaw
95,Ravenclaw
96,Gryffindor
97,Slytherin
98,Hufflepuff
99,Ravenclaw
100,Hufflepuff
101,Hufflepuff
102,Hufflepuff
103,Slytherin
104,Ravenclaw
105,Ravenclaw
106,Hufflepuff
107,Ravenclaw
108,Hufflepuff
109,Hufflepuff
110,Hufflepuff
111,Slytherin
112,Ravenclaw
113,Ravenclaw
114,Hufflepuff
115,Ravenclaw
116,Ravenclaw
117,Hufflepuff
118,Hufflepuff
